id,date,receipt price,time of exit
12102,24-8-2022,34.70,19:28:00
12103,24-8-2022,46.40,20:25:00
12104,24-8-2022,71.30,20:58:00
12105,25-8-2022,20.25,16:26:00
12107,25-8-2022,66.85,17:40:00
12108,25-8-2022,49.50,18:16:00
12109,25-8-2022,48.40,19:08:00
12111,25-8-2022,92.95,19:20:00
12112,25-8-2022,35.75,20:05:00
12113,26-8-2022,51.30,17:08:00
12114,26-8-2022,68.75,17:21:00
12116,26-8-2022,124.75,19:31:00
12117,6-8-2022,48.15,16:30:00
12121,27-8-2022,46.75,17:14:00
12122,6-8-2022,60.90,17:03:00
12122,27-8-2022,43.20,18:00:00
12123,27-8-2022,94.65,18:27:00
12124,6-8-2022,109.00,17:28:00
12125,27-8-2022,145.05,19:52:00
12126,27-8-2022,76.30,19:58:00
12127,20-8-2022,63.70,19:28:00
12128,28-8-2022,23.70,17:23:00
12129,28-8-2022,95.30,18:14:00
12130,28-8-2022,38.00,18:16:00
12131,20-8-2022,71.85,19:14:00
12132,27-8-2022,104.85,19:44:00
12134,31-8-2022,49.35,18:55:00
12135,31-8-2022,48.50,19:07:00
12136,31-8-2022,46.00,19:19:00
12137,20-8-2022,46.20,19:05:00
11993,10-8-2022,56.95,17:33:00
11979,9-8-2022,81.35,18:41:00
11995,10-8-2022,66.35,17:35:00
11996,10-8-2022,87.25,18:18:00
11945,6-8-2022,66.50,17:34:00
12091,23-8-2022,157.45,20:12:00
11887,2-8-2022,66.05,20:05:00
12038,14-8-2022,109.55,17:40:00
12084,21-8-2022,101.15,18:59:00
11973,7-8-2022,64.95,19:38:00
11971,7-8-2022,53.50,19:33:00
11895,3-8-2022,65.25,16:57:00
